pmid,title,year,journal,authors,grants
27492542,"The Secreted Protease PrtA Controls Cell Growth, Biofilm Formation and Pathogenicity in Xylella fastidiosa.",2016,Scientific reports,Gouran H; Gillespie H; Nascimento R; Chakraborty S; Zaini PA,
27418529,Proteomic Analysis of Loricrin Knockout Mouse Epidermis.,2016,Journal of proteome research,Rice RH; Durbin-Johnson BP; Ishitsuka Y; Salemi M; Phinney BS,P42 ES004699; UL1 TR000002; P01 AR047898
27255301,Using LC-MS Based Methods for Testing the Digestibility of a Nonpurified Transgenic Membrane Protein in Simulated Gastric Fluid.,2016,Journal of agricultural and food chemistry,Skinner WS; Phinney BS; Herren A; Goodstal FJ; Dicely I,
26467746,A monoclonal antibody specific for prophase phosphorylation of histone deacetylase 1: a readout for early mitotic cells.,2016,mAbs,Segré CV; Senese S; Loponte S; Santaguida S; Soffientini P,
26435129,The 2012/2013 ABRF Proteomic Research Group Study: Assessing Longitudinal Intralaboratory Variability in Routine Peptide Liquid Chromatography Tandem Mass Spectrometry Analyses.,2015,Molecular & cellular proteomics : MCP,Bennett KL; Wang X; Bystrom CE; Chambers MC; Andacht TM,U24 CA159988; GM087221; R01 GM087221; 2P50 GM076547; P50 GM076547
26283222,Anopheles stephensi p38 MAPK signaling regulates innate immunity and bioenergetics during Plasmodium falciparum infection.,2015,Parasites & vectors,Wang B; Pakpour N; Napoli E; Drexler A; Glennon EK,R01 AI073745; AI073745; T34 GM083894; AI080799; R01 AI080799; R25 GM056765
26198073,Dose-dependent testosterone sensitivity of the steroidal passport and GC-C-IRMS analysis in relation to the UGT2B17 deletion polymorphism.,2015,Drug testing and analysis,Strahm E; Mullen JE; Gårevik N; Ericsson M; Schulze JJ,
26193921,"Dexamethasone Stiffens Trabecular Meshwork, Trabecular Meshwork Cells, and Matrix.",2015,Investigative ophthalmology & visual science,Raghunathan VK; Morgan JT; Park SA; Weber D; Phinney BS,P30 EY012576; R01 EY019475; P30EY12576; R01EY019475
26148687,"Lactobacillus casei Low-Temperature, Dairy-Associated Proteome Promotes Persistence in the Mammalian Digestive Tract.",2015,Journal of proteome research,Lee B; Tachon S; Eigenheer RA; Phinney BS; Marco ML,
25815641,CaMKII Phosphorylation of Na(V)1.5: Novel in Vitro Sites Identified by Mass Spectrometry and Reduced S516 Phosphorylation in Human Heart Failure.,2015,Journal of proteome research,Herren AW; Weber DM; Rigor RR; Margulies KB; Phinney BS,P01-HL-080101; R01 HL081562; P01 HL080101; R01 HL030077; T32-GM-099608; R01 HL105242; R01-HL-105242; T32 GM099608
25757574,Comparative Proteomics of Human and Macaque Milk Reveals Species-Specific Nutrition during Postnatal Development.,2015,Journal of proteome research,Beck KL; Weber D; Phinney BS; Smilowitz JT; Hinde K,P51RR000169; T32-GM008799
25613922,Metabolic and molecular responses to leucine-enriched branched chain amino acid supplementation in the skeletal muscle of alcoholic cirrhosis.,2015,"Hepatology (Baltimore, Md.)",Tsien C; Davuluri G; Singh D; Allawy A; Ten Have GA,U01 AA021893; U01 DK061732; R01 DK 83414; 1UL1RR024989; R21 AA022742; R01 DK083414; UL1 TR000439; P20 AA017837; U01AA021893
25338220,The human colostrum whey proteome is altered in gestational diabetes mellitus.,2015,Journal of proteome research,Grapov D; Lemay DG; Weber D; Phinney BS; Azulay Chertok IR,HD059127; R01 HD061923; U24 DK097154; HD061923; R01 HD059127; 1 U24DK097154
25165623,"Human hair shaft proteomic profiling: individual differences, site specificity and cuticle analysis.",2014,PeerJ,Laatsch CN; Durbin-Johnson BP; Rocke DM; Mukwana S; Newland AB,P42 ES004699; UL1 TR000002
